,Elapsed days,Update,"Download(×10,000)",Positive registration,"Downlowd incremental(×10,000)",Increment of positive registration
0,0,44001,85.0,,85.0,
1,1,44002,179.0,,94.0,
2,2,44003,241.0,,62.0,
3,3,44004,270.0,,29.0,
4,4,44005,326.0,,56.0,
5,5,44006,392.0,,66.0,
6,6,44007,434.0,,42.0,
7,7,44008,446.0,,12.0,
8,8,44009,456.0,,10.0,
9,9,44010,464.0,,8.0,
10,10,44011,472.0,,8.0,
11,11,44012,481.0,,9.0,
12,12,44013,489.0,,8.0,
13,13,44014,499.0,,10.0,
14,14,44015,531.0,,32.0,
15,15,44016,194.0,,17.0,
16,16,44017,194.0,,17.0,
17,17,44018,194.0,,17.0,
18,18,44019,595.0,4.0,13.0,4.0
19,19,44020,610.0,5.0,15.0,1.0
20,20,44021,632.0,6.0,22.0,1.0
21,21,44022,648.0,,16.0,
22,22,44023,226.66666666666666,,10.666666666666666,
23,23,44024,226.66666666666666,,10.666666666666666,
24,24,44025,226.66666666666666,,10.666666666666666,
25,25,44026,695.0,,15.0,
26,26,44027,706.0,,11.0,
27,27,44028,726.0,24.0,20.0,18.0
28,28,44029,741.0,30.0,15.0,6.0
29,29,44030,256.3333333333333,13.333333333333334,9.333333333333334,3.3333333333333335
30,30,44031,256.3333333333333,13.333333333333334,9.333333333333334,3.3333333333333335
31,31,44032,256.3333333333333,13.333333333333334,9.333333333333334,3.3333333333333335
32,32,44033,781.0,45.0,12.0,5.0
33,33,44034,797.0,55.0,16.0,10.0
34,34,44035,174.0,15.4,14.6,4.4
35,35,44036,174.0,15.4,14.6,4.4
36,36,44037,174.0,15.4,14.6,4.4
37,37,44038,174.0,15.4,14.6,4.4
38,38,44039,174.0,15.4,14.6,4.4
39,39,44040,888.0,87.0,18.0,10.0
40,40,44041,912.0,101.0,24.0,14.0
41,41,44042,950.0,118.0,38.0,17.0
42,42,44043,996.0,138.0,46.0,20.0
43,43,44044,366.3333333333333,53.333333333333336,34.333333333333336,7.333333333333333
44,44,44045,366.3333333333333,53.333333333333336,34.333333333333336,7.333333333333333
45,45,44046,366.3333333333333,53.333333333333336,34.333333333333336,7.333333333333333
46,46,44047,1127.0,182.0,28.0,22.0
47,47,44048,1157.0,213.0,30.0,31.0
48,48,44049,1181.0,232.0,24.0,19.0
49,49,44050,1205.0,257.0,24.0,25.0
50,50,44051,318.5,81.0,17.25,16.75
51,51,44052,318.5,81.0,17.25,16.75
52,52,44053,318.5,81.0,17.25,16.75
53,53,44054,318.5,81.0,17.25,16.75
54,54,44055,1290.0,354.0,16.0,30.0
55,55,44056,1306.0,371.0,16.0,17.0
56,56,44057,1320.0,390.0,14.0,19.0
57,57,44058,454.6666666666667,148.66666666666666,14.666666666666666,18.666666666666668
58,58,44059,454.6666666666667,148.66666666666666,14.666666666666666,18.666666666666668
59,59,44060,454.6666666666667,148.66666666666666,14.666666666666666,18.666666666666668
60,60,44061,1377.0,467.0,13.0,21.0
61,61,44062,1390.0,493.0,13.0,26.0
62,62,44063,1405.0,532.0,15.0,39.0
63,63,44064,1416.0,563.0,11.0,31.0
64,64,44065,488.0,203.66666666666666,16.0,16.0
65,65,44066,488.0,203.66666666666666,16.0,16.0
66,66,44067,488.0,203.66666666666666,16.0,16.0
67,67,44068,1479.0,636.0,15.0,25.0
68,68,44069,1501.0,670.0,22.0,34.0
69,69,44070,1518.0,710.0,17.0,40.0
70,70,44071,1536.0,750.0,18.0,40.0
71,71,44072,522.3333333333334,272.6666666666667,10.333333333333334,22.666666666666668
72,72,44073,522.3333333333334,272.6666666666667,10.333333333333334,22.666666666666668
73,73,44074,522.3333333333334,272.6666666666667,10.333333333333334,22.666666666666668
74,74,44075,1577.0,841.0,10.0,23.0
75,75,44076,1587.0,869.0,10.0,28.0
76,76,44077,1599.0,893.0,12.0,24.0
77,77,44078,1609.0,922.0,10.0,29.0
78,78,44079,543.6666666666666,321.0,7.333333333333333,13.666666666666666
79,79,44080,543.6666666666666,321.0,7.333333333333333,13.666666666666666
80,80,44081,543.6666666666666,321.0,7.333333333333333,13.666666666666666
81,81,44082,1639.0,979.0,8.0,16.0
82,82,44083,1647.0,1002.0,8.0,23.0
83,83,44084,1655.0,1044.0,8.0,42.0
84,84,44085,1663.0,1083.0,8.0,39.0
85,85,44086,561.6666666666666,375.3333333333333,7.333333333333333,14.333333333333334
86,86,44087,561.6666666666666,375.3333333333333,7.333333333333333,14.333333333333334
87,87,44088,561.6666666666666,375.3333333333333,7.333333333333333,14.333333333333334
88,88,44089,1692.0,1151.0,7.0,25.0
89,89,44090,1698.0,1172.0,6.0,21.0
90,90,44091,1704.0,1192.0,6.0,20.0
91,91,44092,1712.0,1213.0,8.0,21.0
92,92,44093,348.2,252.8,5.8,10.2
93,93,44094,348.2,252.8,5.8,10.2
94,94,44095,348.2,252.8,5.8,10.2
95,95,44096,348.2,252.8,5.8,10.2
96,96,44097,348.2,252.8,5.8,10.2
97,97,44098,1746.0,1293.0,5.0,29.0
98,98,44099,1752.0,1312.0,6.0,19.0
99,99,44100,589.0,449.3333333333333,5.0,12.0
100,100,44101,589.0,449.3333333333333,5.0,12.0
101,101,44102,589.0,449.3333333333333,5.0,12.0
102,102,44103,1773.0,1362.0,6.0,14.0
103,103,44104,1778.0,1386.0,5.0,24.0
104,104,44105,1783.0,1403.0,5.0,17.0
105,105,44106,1789.0,1422.0,6.0,19.0
106,106,44107,601.0,486.6666666666667,4.666666666666667,12.666666666666666
107,107,44108,601.0,486.6666666666667,4.666666666666667,12.666666666666666
108,108,44109,601.0,486.6666666666667,4.666666666666667,12.666666666666666
109,109,44110,1807.0,1478.0,4.0,18.0
110,110,44111,1812.0,1504.0,5.0,26.0
111,111,44112,1816.0,1531.0,4.0,27.0
112,112,44113,1821.0,1565.0,5.0,34.0
113,113,44114,611.0,538.3333333333334,4.0,16.666666666666668
114,114,44115,611.0,538.3333333333334,4.0,16.666666666666668
115,115,44116,611.0,538.3333333333334,4.0,16.666666666666668
116,116,44117,1837.0,1643.0,4.0,28.0
117,117,44118,1841.0,1671.0,4.0,28.0
118,118,44119,1845.0,1697.0,4.0,26.0
119,119,44120,1849.0,1719.0,4.0,22.0
120,120,44121,620.3333333333334,585.0,4.0,12.0
121,121,44122,620.3333333333334,585.0,4.0,12.0
122,122,44123,620.3333333333334,585.0,4.0,12.0
123,123,44124,1865.0,1789.0,4.0,34.0
124,124,44125,1869.0,1816.0,4.0,27.0
125,125,44126,1873.0,1841.0,4.0,25.0
126,126,44127,1877.0,1862.0,4.0,21.0
127,127,44128,630.0,636.0,4.333333333333333,15.333333333333334
128,128,44129,630.0,636.0,4.333333333333333,15.333333333333334
129,129,44130,630.0,636.0,4.333333333333333,15.333333333333334
130,130,44131,1894.0,1927.0,4.0,19.0
131,131,44132,1897.0,1944.0,3.0,17.0
132,132,44133,1902.0,1969.0,5.0,25.0
133,133,44134,1906.0,2006.0,4.0,37.0
134,134,44135,640.3333333333334,684.6666666666666,5.0,16.0
135,135,44136,640.3333333333334,684.6666666666666,5.0,16.0
136,136,44137,640.3333333333334,684.6666666666666,5.0,16.0
137,137,44138,964.5,1048.0,4.0,21.0
138,138,44139,964.5,1048.0,4.0,21.0
139,139,44140,1932.0,2124.0,3.0,28.0
140,140,44141,1938.0,2168.0,6.0,44.0
141,141,44142,650.6666666666666,749.3333333333334,4.666666666666667,26.666666666666668
142,142,44143,650.6666666666666,749.3333333333334,4.666666666666667,26.666666666666668
143,143,44144,650.6666666666666,749.3333333333334,4.666666666666667,26.666666666666668
144,144,44145,1957.0,2290.0,5.0,42.0
145,145,44146,1962.0,2343.0,5.0,53.0
146,146,44147,1967.0,2387.0,5.0,44.0
147,147,44148,1975.0,2436.0,8.0,49.0
148,148,44149,665.0,851.3333333333334,6.666666666666667,39.333333333333336
149,149,44150,665.0,851.3333333333334,6.666666666666667,39.333333333333336
150,150,44151,665.0,851.3333333333334,6.666666666666667,39.333333333333336
151,151,44152,2001.0,2612.0,6.0,58.0
152,152,44153,2007.0,2646.0,6.0,34.0
153,153,44154,2015.0,2716.0,8.0,70.0
154,154,44155,2024.0,2777.0,9.0,61.0
155,155,44156,512.5,745.5,6.5,51.25
156,156,44157,512.5,745.5,6.5,51.25
157,157,44158,512.5,745.5,6.5,51.25
158,158,44159,512.5,745.5,6.5,51.25
159,159,44160,2055.0,3035.0,5.0,53.0
160,160,44161,2061.0,3106.0,6.0,71.0
161,161,44162,2066.0,3185.0,5.0,79.0
162,162,44163,694.6666666666666,1116.3333333333333,6.0,54.666666666666664
163,163,44164,694.6666666666666,1116.3333333333333,6.0,54.666666666666664
164,164,44165,694.6666666666666,1116.3333333333333,6.0,54.666666666666664
165,165,44166,2090.0,3422.0,6.0,73.0
166,166,44167,2095.0,3468.0,5.0,46.0
167,167,44168,2101.0,3546.0,6.0,78.0
168,168,44169,531.5,946.0,6.25,59.5
169,169,44170,531.5,946.0,6.25,59.5
170,170,44171,531.5,946.0,6.25,59.5
171,171,44172,531.5,946.0,6.25,59.5
172,172,44173,2131.0,3861.0,5.0,77.0
173,173,44174,2137.0,3936.0,6.0,75.0
174,174,44175,2142.0,4017.0,5.0,81.0
175,175,44176,2148.0,4108.0,6.0,91.0
176,176,44177,722.6666666666666,1438.0,6.666666666666667,68.66666666666667
177,177,44178,722.6666666666666,1438.0,6.666666666666667,68.66666666666667
178,178,44179,722.6666666666666,1438.0,6.666666666666667,68.66666666666667
179,179,44180,2173.0,4388.0,5.0,74.0
180,180,44181,2179.0,4485.0,6.0,97.0
181,181,44182,2185.0,4584.0,6.0,99.0
182,182,44183,2191.0,4673.0,6.0,89.0
183,183,44184,736.0,1625.3333333333333,5.666666666666667,67.66666666666667
184,184,44185,736.0,1625.3333333333333,5.666666666666667,67.66666666666667
185,185,44186,736.0,1625.3333333333333,5.666666666666667,67.66666666666667
186,186,44187,2213.0,4967.0,5.0,91.0
187,187,44188,2218.0,5078.0,5.0,111.0
188,188,44189,2223.0,5195.0,5.0,117.0
